"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Peyton Burdick","MIA","32","102","4","8","11","1","7.8%","34.3%",".174",".283",".207",".284",".380",".294","","91","0.0","-1.1","-4.3","-0.2","25459"
"Randal Grichuk","COL","141","538","19","60","73","4","4.5%","23.6%",".166",".309",".259",".299",".425",".315","","88","-1.2","-9.0","-11.1","-0.2","10243"
"Franchy Cordero","BOS","84","275","8","36","29","4","10.2%","33.5%",".178",".313",".219",".300",".397",".304","","92","2.6","0.2","-10.9","-0.2","14567"
"Victor Reyes","DET","92","336","3","27","34","2","3.9%","22.9%",".108",".322",".254",".289",".362",".284","","85","-0.3","-6.1","-6.7","-0.2","15487"
"Austin Meadows","DET","36","147","0","9","11","0","10.9%","11.6%",".078",".288",".250",".347",".328",".307","","101","-1.2","-1.0","-5.8","-0.2","15672"
"Michael Toglia","COL","31","120","2","10","12","1","7.5%","36.7%",".162",".338",".216",".275",".378",".285","","68","0.5","-4.0","-2.1","-0.2","25845"
"Luis Campusano","SDP","16","50","1","4","5","0","2.0%","22.0%",".083",".297",".250",".260",".333",".257","","67","-0.3","-2.3","-1.5","-0.2","22217"
"Kody Clemens","DET","57","127","5","13","17","1","6.3%","26.0%",".162",".148",".145",".197",".308",".220","","40","1.1","-7.5","1.2","-0.2","20572"
"Guillermo Heredia","ATL","74","82","3","12","8","0","7.3%","39.0%",".184",".220",".158",".220",".342",".246","","53","1.0","-3.5","-1.5","-0.2","18721"
"Tucker Barnhart","DET","94","308","1","16","16","0","8.1%","24.0%",".046",".296",".221",".287",".267",".253","","63","-1.7","-14.6","2.4","-0.2","10200"
"Jordan Diaz","OAK","15","51","0","3","1","0","3.9%","13.7%",".061",".310",".265",".294",".327",".275","","82","0.2","-0.9","-3.2","-0.3","22650"
"Didi Gregorius","PHI","63","232","1","17","19","1","5.6%","15.5%",".093",".246",".210",".263",".304",".251","","58","2.1","-9.3","-1.1","-0.3","6012"
"Alec Burleson","STL","16","53","1","4","3","1","9.4%","17.0%",".083",".211",".188",".264",".271",".245","","58","0.1","-2.5","-1.8","-0.3","27615"
"CJ Abrams","- - -","90","302","2","33","21","7","1.7%","16.6%",".077",".291",".246",".280",".324",".267","","71","1.7","-8.5","-4.5","-0.3","25768"
"Jo Adell","LAA","88","285","8","22","27","4","3.9%","37.5%",".149",".338",".224",".264",".373",".278","","77","0.8","-6.5","-5.5","-0.3","20220"
"J.J. Bleday","MIA","65","238","5","21","16","4","12.6%","28.2%",".142",".216",".167",".277",".309",".266","","72","0.8","-7.1","-3.8","-0.3","26368"
"Robbie Grossman","- - -","129","477","7","40","45","6","11.7%","27.0%",".102",".283",".209",".310",".311",".283","","82","-0.2","-9.8","-8.6","-0.3","5254"
"Anthony Bemboom","BAL","22","59","1","4","1","0","10.2%","28.8%",".096",".147",".115",".207",".212",".196","","22","0.0","-5.2","0.4","-0.3","13854"
"Willie Calhoun","- - -","22","62","1","7","3","0","14.5%","12.9%",".115",".140",".135",".274",".250",".249","","59","-0.7","-3.6","-1.5","-0.3","17838"
"Ryan O'Hearn","KCR","67","145","1","14","16","0","5.5%","24.1%",".082",".313",".239",".290",".321",".272","","72","0.3","-4.4","-3.3","-0.3","16442"
"Luis Torrens","SEA","57","166","3","13","15","0","7.2%","30.1%",".073",".310",".225",".283",".298",".261","","72","-1.4","-6.6","-1.8","-0.3","15905"
"Mickey Moniak","- - -","37","112","3","13","8","1","3.6%","39.3%",".132",".254",".170",".207",".302",".223","","39","1.2","-6.7","-0.1","-0.3","19956"
"Josh VanMeter","PIT","67","192","3","15","14","4","9.9%","23.4%",".105",".232",".187",".266",".292",".251","","59","1.1","-8.1","-1.5","-0.3","15170"
"Andrew Knizner","STL","97","293","4","28","25","0","8.9%","21.2%",".085",".268",".215",".301",".300",".275","","79","-1.8","-9.1","-4.0","-0.3","19514"
"Andrelton Simmons","CHC","35","85","0","8","7","4","8.2%","15.3%",".013",".210",".173",".244",".187",".204","","27","0.1","-7.1","1.0","-0.3","10847"
"Dee Strange-Gordon","WSN","23","59","0","6","2","3","0.0%","13.6%",".051",".353",".305",".305",".356",".288","","83","-0.2","-1.3","-3.9","-0.3","8203"
"Nick Pratto","KCR","49","182","7","18","20","0","10.4%","36.3%",".203",".250",".184",".271",".386",".287","","82","-1.5","-5.2","-3.9","-0.4","22117"
"Sandy Leon","- - -","34","86","0","6","4","0","15.1%","31.4%",".042",".273",".169",".298",".211",".246","","58","-2.4","-6.5","0.4","-0.4","5273"
"Zack Collins","- - -","36","108","4","9","11","0","8.3%","38.0%",".165",".208",".155",".231",".320",".245","","57","-0.2","-5.6","-1.3","-0.4","19181"
"Jarren Duran","BOS","58","223","3","23","17","7","6.3%","28.3%",".142",".302",".221",".283",".363",".284","","78","0.5","-5.1","-5.4","-0.4","24617"
"Jason Heyward","CHC","48","151","1","15","10","1","7.3%","21.2%",".073",".260",".204",".278",".277",".253","","61","-0.1","-7.0","-1.6","-0.4","4940"
"Richie Palacios","CLE","54","123","0","7","10","2","7.3%","16.3%",".054",".280",".232",".293",".286",".258","","65","0.3","-4.6","-2.8","-0.4","24589"
"Kyle Lewis","SEA","18","62","3","6","5","0","8.1%","30.6%",".161",".147",".143",".226",".304",".239","","56","-0.9","-4.0","-1.5","-0.4","19508"
